Id,Movie,,,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
228,Sleeping with Other People,IFCFilms,IFC Films,"$814,775 ","$89,102 ",392
229,The Wrecking Crew,Magnolia…,Magnolia Pictures,"$801,606 ","$56,858 ",65
230,Im Labyrinth des Schweigens,SonyPict…,Sony Pictures,"$794,452 ","$22,101 ",72
231,Once I Was a Beehive,PurdieDi…,Purdie Distribution,"$731,549 ","$48,407 ",32
232,Seymour: An Introduction,IFCFilms,IFC Films,"$729,744 ","$26,587 ",64
233,Cartel Land,TheOrchard,The Orchard,"$704,352 ","$15,581 ",65
234,Tangerine,Magnolia…,Magnolia Pictures,"$702,354 ","$60,683 ",44
235,Himalaya,CJEntert…,CJ Entertainment,"$696,717 ","$13,387 ",36
236,Red Army,SonyPict…,Sony Pictures,"$694,647 ","$20,100 ",84
237,The D Train,IFCFilms,IFC Films,"$669,688 ","$447,661 ","1,009"
238,Brothers,FoxInter…,Fox International,"$656,688 ","$357,404 ",164
239,The Stanford Prison Experiment,IFCFilms,IFC Films,"$649,690 ","$37,514 ",79
240,Cìkè Niè Yinniáng,WellGoUSA,Well Go USA,"$632,542 ","$47,892 ",53
241,Welcome to Me,Alchemy,Alchemy,"$625,727 ","$38,168 ",133
242,"Kumiko, The Treasure Hunter",Amplify,Amplify,"$623,383 ","$34,114 ",71
243,Omoide no Mani,GKIDS,GKIDS,"$565,042 ","$27,389 ",57
244,Jimmys Hall,SonyPict…,Sony Pictures,"$560,341 ","$19,881 ",47
245,A Little Chaos,FocusFea…,Focus Features,"$558,173 ","$181,791 ",87
246,Remember,Entertain…,Entertainment One,"$547,009 ","$27,006 ",43
247,Freeheld,Lionsgate,Lionsgate,"$546,201 ","$37,983 ",148
248,By the Sea,Universal,Universal Studio,"$538,460 ","$96,250 ",142
249,Shaandaar,FoxInter…,Fox International,"$521,794 ","$384,685 ",136
250,The Black Panthers: Vanguard of the Revolution,PBSDistr…,PBS Distribution,"$516,893 ","$20,215 ",12
251,Deli Man: The Movie,CohenMed…,Cohen Media,"$502,294 ","$37,321 ",38
252,Peggy Guggenheim: Art Addict,Submarine…,Submarine Deluxe,"$498,428 ","$22,258 ",25
253,Steve Jobs: The Man in the Machine,Magnolia…,Magnolia Pictures,"$494,506 ","$140,064 ",68
254,Phantom,UTVCommu…,UTV Communications,"$489,984 ","$266,756 ",93
255,The Last: Naruto the Movie,ElevenArts,Eleven Arts,"$483,795 ",$0 ,34
256,You yi ge di fang zhi you wo men zhi dao,ChinaLio…,China Lion Film Distribution,"$482,013 ","$304,934 ",45
257,Brotherly Love,Freestyle…,Freestyle Releasing,"$478,595 ","$246,902 ",200
258,Darbareye Elly,CinemaGuild,Cinema Guild,"$470,346 ","$13,180 ",13
259,Zan men jie hun ba,ChinaLio…,China Lion Film Distribution,"$461,996 ","$180,929 ",39
260,Bombay Velvet,FoxInter…,Fox International,"$450,692 ","$320,000 ",218
261,Felix et Meira,Oscillosc…,Oscilloscope Pictures,"$447,353 ","$15,018 ",44
262,Rosenwald,TheCiesl…,The Ciesla Foundation,"$433,924 ","$6,000 ",21
263,Saint Laurent,SonyPict…,Sony Pictures,"$429,477 ","$36,136 ",59
264,Listen to Me Marlon,Abramoram…,Abramorama Films,"$426,130 ","$30,068 ",38
265,Gemma Bovery,MusicBox…,Music Box Films,"$425,080 ","$27,434 ",29
266,Heart of a Dog,Abramoram…,Abramorama Films,"$420,813 ","$13,893 ",22
267,Janis: Little Girl Blue,FilmRise,Film Rise,"$410,465 ","$21,861 ",26
268,Unbranded,Gravitas…,Gravitas Venture,"$410,185 ","$141,416 ",80
269,Wo shi zheng ren,ChinaLio…,China Lion Film Distribution,"$409,644 ","$194,736 ",40
270,Badlapur,ErosEnte…,Eros Entertainment,"$409,166 ","$227,759 ",82
271,The Hunting Ground,RADiUS-TWC,RADiUS-TWC,"$405,917 ","$24,107 ",25
272,Freetown,PurdieDi…,Purdie Distribution,"$397,122 ","$118,551 ",124
273,Gui lai,SonyPict…,Sony Pictures,"$377,607 ","$26,361 ",55
274,Que Horas Ela Volta?,Oscillosc…,Oscilloscope Pictures,"$376,976 ","$24,086 ",38
275,Boychoir,MongrelM…,Mongrel Media,"$366,474 ",$0 ,24
276,Katti Batti,UTVCommu…,UTV Communications,"$364,932 ","$239,816 ",127
277,Maps to the Stars,FocusFea…,Focus Features,"$350,741 ","$143,422 ",66
278,Noble,Aspiratio…,Aspiration Media,"$347,321 ","$231,319 ",175
279,Talvar,Reliance…,Reliance Big Pictures,"$342,428 ","$144,713 ",51
280,Kahlil Gibrans The Prophet,GKIDS,GKIDS,"$340,536 ","$27,435 ",37
281,Detective Byomkesh Bakshy,YashRaj…,Yash Raj Films,"$338,637 ","$338,637 ",82
282,Ballet 422,Magnolia…,Magnolia Pictures,"$333,554 ","$27,653 ",27
283,N.L.L: Yeonpyeong Haejeon,WellGoUSA,Well Go USA,"$324,719 ","$108,255 ",13
284,Shamitabh,ErosEnte…,Eros Entertainment,"$324,597 ","$241,720 ",137
285,Taxi,KinoLorber,Kino Lorber,"$321,642 ",$0 ,20
286,A Borrowed Identity,Strand,Strand,"$319,391 ","$25,699 ",22
287,Good Kill,IFCFilms,IFC Films,"$317,072 ","$17,750 ",143
288,David and Goliath,RiverRain…,RiverRain,"$316,117 ","$154,901 ",31
289,Benpao Ba! Xiongdi,ChinaLio…,China Lion Film Distribution,"$309,297 ","$184,926 ",21
290,Hitchcock/Truffaut,CohenMed…,Cohen Media,"$304,899 ","$28,178 ",23
291,The Man in 3B,Freestyle…,Freestyle Releasing,"$291,513 ","$109,043 ",36
292,Above and Beyond,Internati…,International Film Circuit,"$288,751 ","$6,448 ",21
293,Gun dan ba! Zhong liu jun,ChinaLio…,China Lion Film Distribution,"$286,639 ","$50,036 ",15
294,Theeb,FilmMove…,Film Movement,"$283,024 ","$9,181 ",27
295,Feher isten,Magnolia…,Magnolia Pictures,"$282,358 ","$16,139 ",29
296,Lhomme quon aimait trop,CohenMed…,Cohen Media,"$277,528 ","$14,553 ",50
297,Gabbar is Back,ErosEnte…,Eros Entertainment,"$276,429 ","$276,429 ",107
298,Nh10,ErosEnte…,Eros Entertainment,"$262,586 ",$0 ,40
299,Boruto: Naruto the Movie,ElevenArts,Eleven Arts,"$259,028 ","$259,028 ",155
300,Shingeki no kyojin,FUNimation,FUNimation,"$258,794 ",$0 ,264
