Id,Movie,StudioDirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
235,Gräns,Neon,Neon,"$771,930 ","$73,700 ",74
236,The Party,Roadside…,Roadside Attractions,"$749,827 ","$37,396 ",86
237,How Long Will I Love U,WellGoUSA,Well Go USA,"$746,933 ","$204,733 ",32
238,On Chesil Beach,Bleecker…,Bleecker Street,"$745,972 ","$35,765 ",203
239,Vox Lux,Neon,Neon,"$727,119 ","$155,714 ",325
240,The Catcher Was A Spy,IFCFilms,IFC Films,"$725,223 ","$114,771 ",52
241,Beoning,WellGoUSA,Well Go USA,"$719,772 ","$26,130 ",27
242,The Little Stranger,FocusFea…,Focus Features,"$713,143 ","$401,563 ",477
243,Zhuo yao ji 2,Lionsgate,Lionsgate,"$706,153 ","$341,834 ",69
244,Blaze,IFCFilms,IFC Films,"$704,955 ","$44,050 ",87
245,Boundaries,SonyPict…,Sony Pictures,"$701,828 ","$29,552 ",224
246,Nada a Perder,SwenGroup,Swen Group,"$679,531 ","$679,531 ",69
247,Yi Chu Hao Xi,WellGoUSA,Well Go USA,"$670,883 ","$263,412 ",40
248,Lizzie,Roadside…,Roadside Attractions,"$642,157 ","$47,580 ",240
249,"Love, Gilda",Magnolia…,Magnolia Pictures,"$626,318 ","$189,639 ",112
250,Itzhak,Greenwich,Greenwich,"$618,626 ","$14,350 ",35
251,Foxtrot,SonyPict…,Sony Pictures,"$617,972 ","$31,629 ",45
252,Pick of the Litter,IFCFilms,IFC Films,"$578,717 ","$16,519 ",60
253,Nelyubov,SonyPict…,Sony Pictures,"$564,073 ","$30,222 ",59
254,Huang Qiang Zou Ban,ChinaLio…,China Lion Film Distribution,"$551,196 ","$71,187 ",36
255,Anthropocene: The Human Epoch,MongrelM…,Mongrel Media,"$546,722 ",$0 ,110
256,Anna and the Apocalypse,OrionPic…,Orion Pictures,"$545,597 ","$52,588 ",138
257,"Uchiage Hanabi, Shita Kara Miru ka? Yoko Kara M…",GKIDS,GKIDS,"$525,280 ","$138,014 ",510
258,Manmarziyaan,ErosEnte…,Eros Entertainment,"$506,548 ","$292,439 ",99
259,Monsters and Men,Neon,Neon,"$500,101 ","$118,697 ",153
260,Gongjak,CJEntert…,CJ Entertainment,"$497,755 ","$43,348 ",31
261,Bilal: A New Breed of Hero,Vertical…,Vertical Entertainment,"$490,973 ","$309,951 ",300
262,Ansisung,WellGoUSA,Well Go USA,"$472,166 ","$123,983 ",30
263,The Happy Prince,SonyPict…,Sony Pictures,"$464,495 ",$0 ,277
