,Id,Movie,,,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
198,199,Le fils de l’autre,CohenMed…,Cohen Media,"$1,220,807 ","$125,691 ",53
199,200,Hodejegerne,Magnolia…,Magnolia Pictures,"$1,200,010 ","$43,013 ",60
200,201,Ek Main Aur Ekk Tu,UTVCommu…,UTV Communications,"$1,155,545 ","$637,100 ",111
201,202,The Deep Blue Sea,MusicBox…,Music Box Films,"$1,126,027 ","$123,841 ",56
202,203,Burn,Callbox,#N/A,"$1,109,276 ",,14
203,204,The Oogieloves in the BIG Balloon Adventure,KennVise…,#N/A,"$1,065,907 ","$443,901 ","2,160"
204,205,Cocktail,ErosEnte…,Eros Entertainment,"$1,027,121 ","$647,956 ",96
205,206,Damsels in Distress,SonyPict…,Sony Pictures,"$1,007,535 ","$58,589 ",205
206,207,Diana Vreeland: The Eye Has to Travel,SamuelGo…,Samuel Goldwyn Films,"$1,004,821 ","$63,700 ",27
207,208,Rampart,Alchemy,Alchemy,"$969,239 ","$60,446 ",106
208,209,Gwanghae,Wangyidoennamja,#N/A,"$922,921 ",,16
209,210,First Position,IFCFilms,IFC Films,"$908,235 ","$48,024 ",58
210,211,The Imposter,Indomina…,Indomina Releasing,"$901,954 ","$22,379 ",31
211,212,Midnights Children,MongrelM…,Mongrel Media,"$849,045 ",,17
212,213,Meerkats,National…,National Geographic Entertainment,"$845,613 ",,8
213,214,Bill W.,Page124…,#N/A,"$809,590 ",,31
214,215,Darling Companion,SonyPict…,Sony Pictures,"$793,352 ","$39,962 ",64
215,216,Thin Ice,ATOPictures,ATO Pictures,"$789,752 ","$183,527 ",53
216,217,Rowdy Rathore,UTVCommu…,UTV Communications,"$777,373 ",,120
217,218,Coriolanus,Weinstein…,Weinstein Co.,"$749,641 ","$61,136 ",21
218,219,Cosmopolis,Entertain…,Entertainment One,"$743,636 ","$56,566 ",65
219,220,Unconditional,Veracity…,#N/A,"$741,381 ","$525,192 ",312
220,221,Son of Sardaar,ErosEnte…,Eros Entertainment,"$713,754 ",,109
221,222,Agent Vinod,ErosEnte…,Eros Entertainment,"$698,210 ",,122
222,223,The Paperboy,Alchemy,Alchemy,"$677,200 ","$102,706 ",76
223,224,Teri Meri Kahaani,ErosEnte…,Eros Entertainment,"$671,442 ","$405,926 ",94
224,225,Holy Motors,Indomina…,Indomina Releasing,"$641,054 ","$18,866 ",29
225,226,2 Days in New York,Magnolia…,Magnolia Pictures,"$633,210 ","$23,942 ",42
